model,seed,condition,coverage,selective_error,accuracy,unsupported_release_rate,n,n_accepted,locked_threshold,validation_coverage
logistic_regression,40,clean_test,0.7807017543859649,0.0,0.9912280701754386,0.0,114,89,0.92,0.7017543859649122
logistic_regression,40,gaussian_noise_0.1,0.7982456140350878,0.0,0.9824561403508771,0.0,114,91,0.92,0.7017543859649122
logistic_regression,40,gaussian_noise_0.2,0.7982456140350878,0.0,0.9912280701754386,0.0,114,91,0.92,0.7017543859649122
logistic_regression,40,random_missingness_10%,0.7456140350877193,0.0,0.9736842105263158,0.0,114,85,0.92,0.7017543859649122
logistic_regression,40,random_missingness_20%,0.6666666666666666,0.0,0.9736842105263158,0.0,114,76,0.92,0.7017543859649122
logistic_regression,41,clean_test,0.6842105263157895,0.0,0.9824561403508771,0.0,114,78,0.93,0.7017543859649122
logistic_regression,41,gaussian_noise_0.1,0.6929824561403509,0.0,0.9824561403508771,0.0,114,79,0.93,0.7017543859649122
logistic_regression,41,gaussian_noise_0.2,0.7017543859649122,0.0,0.9824561403508771,0.0,114,80,0.93,0.7017543859649122
logistic_regression,41,random_missingness_10%,0.631578947368421,0.0,0.9736842105263158,0.0,114,72,0.93,0.7017543859649122
logistic_regression,41,random_missingness_20%,0.5701754385964912,0.0,0.9824561403508771,0.0,114,65,0.93,0.7017543859649122
logistic_regression,42,clean_test,0.6403508771929824,0.0,0.9473684210526315,0.0,114,73,0.97,0.6666666666666666
logistic_regression,42,gaussian_noise_0.1,0.6754385964912281,0.0,0.9473684210526315,0.0,114,77,0.97,0.6666666666666666
logistic_regression,42,gaussian_noise_0.2,0.6403508771929824,0.0,0.9649122807017544,0.0,114,73,0.97,0.6666666666666666
logistic_regression,42,random_missingness_10%,0.6052631578947368,0.0,0.9473684210526315,0.0,114,69,0.97,0.6666666666666666
logistic_regression,42,random_missingness_20%,0.543859649122807,0.0,0.9649122807017544,0.0,114,62,0.97,0.6666666666666666
logistic_regression,43,clean_test,0.6052631578947368,0.014492753623188406,0.9736842105263158,0.008771929824561403,114,69,0.95,0.6842105263157895
logistic_regression,43,gaussian_noise_0.1,0.6140350877192983,0.014285714285714285,0.9736842105263158,0.008771929824561403,114,70,0.95,0.6842105263157895
logistic_regression,43,gaussian_noise_0.2,0.6140350877192983,0.014285714285714285,0.9649122807017544,0.008771929824561403,114,70,0.95,0.6842105263157895
logistic_regression,43,random_missingness_10%,0.5789473684210527,0.015151515151515152,0.9649122807017544,0.008771929824561403,114,66,0.95,0.6842105263157895
logistic_regression,43,random_missingness_20%,0.5,0.017543859649122806,0.9649122807017544,0.008771929824561403,114,57,0.95,0.6842105263157895
logistic_regression,44,clean_test,0.7456140350877193,0.0,0.9736842105263158,0.0,114,85,0.96,0.7017543859649122
logistic_regression,44,gaussian_noise_0.1,0.7456140350877193,0.0,0.9736842105263158,0.0,114,85,0.96,0.7017543859649122
logistic_regression,44,gaussian_noise_0.2,0.7368421052631579,0.0,0.9736842105263158,0.0,114,84,0.96,0.7017543859649122
logistic_regression,44,random_missingness_10%,0.7192982456140351,0.0,0.9824561403508771,0.0,114,82,0.96,0.7017543859649122
logistic_regression,44,random_missingness_20%,0.6491228070175439,0.0,0.9736842105263158,0.0,114,74,0.96,0.7017543859649122
logistic_regression,45,clean_test,0.8157894736842105,0.010752688172043012,0.9824561403508771,0.008771929824561403,114,93,0.93,0.7105263157894737
logistic_regression,45,gaussian_noise_0.1,0.8157894736842105,0.010752688172043012,0.9824561403508771,0.008771929824561403,114,93,0.93,0.7105263157894737
logistic_regression,45,gaussian_noise_0.2,0.8070175438596491,0.010869565217391304,0.9912280701754386,0.008771929824561403,114,92,0.93,0.7105263157894737
logistic_regression,45,random_missingness_10%,0.7719298245614035,0.011363636363636364,0.9824561403508771,0.008771929824561403,114,88,0.93,0.7105263157894737
logistic_regression,45,random_missingness_20%,0.7105263157894737,0.0,0.9824561403508771,0.0,114,81,0.93,0.7105263157894737
logistic_regression,46,clean_test,0.6228070175438597,0.0,0.956140350877193,0.0,114,71,0.95,0.7105263157894737
logistic_regression,46,gaussian_noise_0.1,0.6052631578947368,0.0,0.9473684210526315,0.0,114,69,0.95,0.7105263157894737
logistic_regression,46,gaussian_noise_0.2,0.5964912280701754,0.0,0.956140350877193,0.0,114,68,0.95,0.7105263157894737
logistic_regression,46,random_missingness_10%,0.5263157894736842,0.0,0.956140350877193,0.0,114,60,0.95,0.7105263157894737
logistic_regression,46,random_missingness_20%,0.49122807017543857,0.0,0.956140350877193,0.0,114,56,0.95,0.7105263157894737
logistic_regression,47,clean_test,0.6929824561403509,0.012658227848101266,0.9736842105263158,0.008771929824561403,114,79,0.93,0.7105263157894737
logistic_regression,47,gaussian_noise_0.1,0.6842105263157895,0.01282051282051282,0.9736842105263158,0.008771929824561403,114,78,0.93,0.7105263157894737
logistic_regression,47,gaussian_noise_0.2,0.6929824561403509,0.012658227848101266,0.9736842105263158,0.008771929824561403,114,79,0.93,0.7105263157894737
logistic_regression,47,random_missingness_10%,0.6228070175438597,0.014084507042253521,0.9824561403508771,0.008771929824561403,114,71,0.93,0.7105263157894737
logistic_regression,47,random_missingness_20%,0.6228070175438597,0.014084507042253521,0.9824561403508771,0.008771929824561403,114,71,0.93,0.7105263157894737
logistic_regression,48,clean_test,0.7368421052631579,0.0,0.9649122807017544,0.0,114,84,0.94,0.7192982456140351
logistic_regression,48,gaussian_noise_0.1,0.7280701754385965,0.0,0.9736842105263158,0.0,114,83,0.94,0.7192982456140351
logistic_regression,48,gaussian_noise_0.2,0.7456140350877193,0.0,0.9649122807017544,0.0,114,85,0.94,0.7192982456140351
logistic_regression,48,random_missingness_10%,0.6929824561403509,0.0,0.9649122807017544,0.0,114,79,0.94,0.7192982456140351
logistic_regression,48,random_missingness_20%,0.6052631578947368,0.0,0.9385964912280702,0.0,114,69,0.94,0.7192982456140351
logistic_regression,49,clean_test,0.7456140350877193,0.0,0.9824561403508771,0.0,114,85,0.93,0.7017543859649122
logistic_regression,49,gaussian_noise_0.1,0.7456140350877193,0.0,0.9824561403508771,0.0,114,85,0.93,0.7017543859649122
logistic_regression,49,gaussian_noise_0.2,0.7280701754385965,0.0,0.9824561403508771,0.0,114,83,0.93,0.7017543859649122
logistic_regression,49,random_missingness_10%,0.6666666666666666,0.0,0.9912280701754386,0.0,114,76,0.93,0.7017543859649122
